FIPS,State,County,Year,Population
01001,Alabama,Autauga County,2000,43751
01003,Alabama,Baldwin County,2000,140416
01005,Alabama,Barbour County,2000,29042
01007,Alabama,Bibb County,2000,19856
01009,Alabama,Blount County,2000,50982
01011,Alabama,Bullock County,2000,11603
01013,Alabama,Butler County,2000,21394
01015,Alabama,Calhoun County,2000,111882
01017,Alabama,Chambers County,2000,36600
01019,Alabama,Cherokee County,2000,23909
01021,Alabama,Chilton County,2000,39604
01023,Alabama,Choctaw County,2000,15953
01025,Alabama,Clarke County,2000,27870
01027,Alabama,Clay County,2000,14240
01029,Alabama,Cleburne County,2000,14141
01031,Alabama,Coffee County,2000,43639
01033,Alabama,Colbert County,2000,54979
01035,Alabama,Conecuh County,2000,14077
01037,Alabama,Coosa County,2000,11842
01039,Alabama,Covington County,2000,37640
01041,Alabama,Crenshaw County,2000,13657
01043,Alabama,Cullman County,2000,77426
01045,Alabama,Dale County,2000,49120
01047,Alabama,Dallas County,2000,46361
01049,Alabama,DeKalb County,2000,64436
01051,Alabama,Elmore County,2000,65819
01053,Alabama,Escambia County,2000,38452
01055,Alabama,Etowah County,2000,103448
01057,Alabama,Fayette County,2000,18522
01059,Alabama,Franklin County,2000,31257
01061,Alabama,Geneva County,2000,25700
01063,Alabama,Greene County,2000,9923
01065,Alabama,Hale County,2000,18270
01067,Alabama,Henry County,2000,16297
01069,Alabama,Houston County,2000,88831
01071,Alabama,Jackson County,2000,53871
01073,Alabama,Jefferson County,2000,662041
01075,Alabama,Lamar County,2000,15902
01077,Alabama,Lauderdale County,2000,87952
01079,Alabama,Lawrence County,2000,34834
01081,Alabama,Lee County,2000,115014
01083,Alabama,Limestone County,2000,65668
01085,Alabama,Lowndes County,2000,13483
01087,Alabama,Macon County,2000,24086
01089,Alabama,Madison County,2000,276998
01091,Alabama,Marengo County,2000,22533
01093,Alabama,Marion County,2000,31162
01095,Alabama,Marshall County,2000,82303
01097,Alabama,Mobile County,2000,399887
01099,Alabama,Monroe County,2000,24320
01101,Alabama,Montgomery County,2000,223518
01103,Alabama,Morgan County,2000,111076
01105,Alabama,Perry County,2000,11876
01107,Alabama,Pickens County,2000,20914
01109,Alabama,Pike County,2000,29688
01111,Alabama,Randolph County,2000,22344
01113,Alabama,Russell County,2000,49854
01115,Alabama,St. Clair County,2000,64740
01117,Alabama,Shelby County,2000,143429
01119,Alabama,Sumter County,2000,14772
01121,Alabama,Talladega County,2000,80734
01123,Alabama,Tallapoosa County,2000,41771
01125,Alabama,Tuscaloosa County,2000,164932
01127,Alabama,Walker County,2000,70688
01129,Alabama,Washington County,2000,18077
01131,Alabama,Wilcox County,2000,12995
01133,Alabama,Winston County,2000,24806
02013,Alaska,Aleutians East Borough,2000,2697
02016,Alaska,Aleutians West Census Area,2000,5464
02020,Alaska,Anchorage Municipality,2000,260299
02050,Alaska,Bethel Census Area,2000,16046
02060,Alaska,Bristol Bay Borough,2000,1258
02068,Alaska,Denali Borough,2000,1893
02070,Alaska,Dillingham Census Area,2000,4922
02090,Alaska,Fairbanks North Star Borough,2000,82849
02100,Alaska,Haines Borough,2000,2392
02105,Alaska,Hoonah-Angoon Census Area,2000,2574
02110,Alaska,Juneau City and Borough,2000,30704
02122,Alaska,Kenai Peninsula Borough,2000,49673
02130,Alaska,Ketchikan Gateway Borough,2000,14074
02150,Alaska,Kodiak Island Borough,2000,13916
02164,Alaska,Lake and Peninsula Borough,2000,1823
02170,Alaska,Matanuska-Susitna Borough,2000,59318
02180,Alaska,Nome Census Area,2000,9196
02185,Alaska,North Slope Borough,2000,7385
02188,Alaska,Northwest Arctic Borough,2000,7208
02195,Alaska,Petersburg Borough,2000,4256
02198,Alaska,Prince of Wales-Hyder Census Area,2000,6124
02220,Alaska,Sitka City and Borough,2000,8835
02230,Alaska,Skagway Municipality,2000,860
02240,Alaska,Southeast Fairbanks Census Area,2000,6174
02261,,,2000,10195
02270,,,2000,7028
02275,Alaska,Wrangell City and Borough,2000,2452
02282,Alaska,Yakutat City and Borough,2000,808
02290,Alaska,Yukon-Koyukuk Census Area,2000,6510
04001,Arizona,Apache County,2000,69430
04003,Arizona,Cochise County,2000,117743
04005,Arizona,Coconino County,2000,116320
04007,Arizona,Gila County,2000,51298
04009,Arizona,Graham County,2000,33475
04011,Arizona,Greenlee County,2000,8539
04012,Arizona,La Paz County,2000,19670
04013,Arizona,Maricopa County,2000,3072415
04015,Arizona,Mohave County,2000,154981
04017,Arizona,Navajo County,2000,97452
04019,Arizona,Pima County,2000,843702
04021,Arizona,Pinal County,2000,179469
04023,Arizona,Santa Cruz County,2000,38381
04025,Arizona,Yavapai County,2000,167377
04027,Arizona,Yuma County,2000,159995
05001,Arkansas,Arkansas County,2000,20751
05003,Arkansas,Ashley County,2000,24217
05005,Arkansas,Baxter County,2000,38365
05007,Arkansas,Benton County,2000,153323
05009,Arkansas,Boone County,2000,33940
05011,Arkansas,Bradley County,2000,12618
05013,Arkansas,Calhoun County,2000,5731
05015,Arkansas,Carroll County,2000,25345
05017,Arkansas,Chicot County,2000,14101
05019,Arkansas,Clark County,2000,23541
05021,Arkansas,Clay County,2000,17594
05023,Arkansas,Cleburne County,2000,24005
05025,Arkansas,Cleveland County,2000,8562
05027,Arkansas,Columbia County,2000,25612
05029,Arkansas,Conway County,2000,20320
05031,Arkansas,Craighead County,2000,82139
05033,Arkansas,Crawford County,2000,53252
05035,Arkansas,Crittenden County,2000,50855
05037,Arkansas,Cross County,2000,19529
05039,Arkansas,Dallas County,2000,9196
05041,Arkansas,Desha County,2000,15351
05043,Arkansas,Drew County,2000,18690
05045,Arkansas,Faulkner County,2000,86036
05047,Arkansas,Franklin County,2000,17766
05049,Arkansas,Fulton County,2000,11627
05051,Arkansas,Garland County,2000,88122
05053,Arkansas,Grant County,2000,16457
05055,Arkansas,Greene County,2000,37383
05057,Arkansas,Hempstead County,2000,23597
05059,Arkansas,Hot Spring County,2000,30413
05061,Arkansas,Howard County,2000,14304
05063,Arkansas,Independence County,2000,34246
05065,Arkansas,Izard County,2000,13261
05067,Arkansas,Jackson County,2000,18420
05069,Arkansas,Jefferson County,2000,84295
05071,Arkansas,Johnson County,2000,22779
05073,Arkansas,Lafayette County,2000,8550
05075,Arkansas,Lawrence County,2000,17762
05077,Arkansas,Lee County,2000,12578
05079,Arkansas,Lincoln County,2000,14482
05081,Arkansas,Little River County,2000,13628
05083,Arkansas,Logan County,2000,22480
05085,Arkansas,Lonoke County,2000,52849
05087,Arkansas,Madison County,2000,14228
05089,Arkansas,Marion County,2000,16147
05091,Arkansas,Miller County,2000,40455
05093,Arkansas,Mississippi County,2000,51999
05095,Arkansas,Monroe County,2000,10255
05097,Arkansas,Montgomery County,2000,9222
05099,Arkansas,Nevada County,2000,9940
05101,Arkansas,Newton County,2000,8603
